date,new_cases,new_deaths
2020-03-01,18,2
2020-03-02,16,3
2020-03-03,21,4
2020-03-04,36,2
2020-03-05,67,0
2020-03-06,83,3
2020-03-07,117,4
2020-03-08,119,3
2020-03-09,201,4
2020-03-10,270,5
2020-03-11,245,6
2020-03-12,405,6
2020-03-13,556,7
2020-03-14,674,10
2020-03-15,702,8
2020-03-16,907,23
2020-03-17,1399,26
2020-03-18,2444,45
2020-03-19,4043,50
2020-03-20,5619,65
2020-03-21,6516,83
2020-03-22,8545,98
2020-03-23,10432,121
2020-03-24,10433,206
2020-03-25,14634,269
2020-03-26,16998,299
2020-03-27,17330,417
2020-03-28,21066,530
2020-03-29,18520,418
2020-03-30,21469,650
2020-03-31,24506,936
2020-04-01,26930,1030
2020-04-02,29717,1216
2020-04-03,32318,1391
2020-04-04,35099,1556
2020-04-05,25616,1368
2020-04-06,30916,1526
2020-04-07,30337,2234
2020-04-08,31820,2094
2020-04-09,34699,2120
2020-04-10,33473,2263
2020-04-11,31720,2084
2020-04-12,27301,1681
2020-04-13,25769,1764
2020-04-14,26691,2705
2020-04-15,30033,2752
2020-04-16,31613,2349
2020-04-17,31509,2289
2020-04-18,28398,1955
2020-04-19,25334,1539
2020-04-20,27395,1837
2020-04-21,25851,2672
2020-04-22,28831,2371
2020-04-23,33776,2173
2020-04-24,36741,2132
2020-04-25,34408,1969
2020-04-26,26735,1253
2020-04-27,23197,1442
2020-04-28,24651,2394
2020-04-29,26555,2514
2020-04-30,30357,2210
2020-05-01,33970,1762
2020-05-02,29474,1584
2020-05-03,26142,1331
2020-05-04,21962,1089
2020-05-05,23709,2234
2020-05-06,24506,2708
2020-05-07,28478,1958
2020-05-08,27648,1575
2020-05-09,24868,1454
2020-05-10,20317,932
2020-05-11,17621,982
2020-05-12,22300,1652
2020-05-13,21145,1768
2020-05-14,26961,1738
2020-05-15,26237,1593
2020-05-16,23658,1225
2020-05-17,19013,844
2020-05-18,21824,846
2020-05-19,20969,1520
2020-05-20,23066,1477
2020-05-21,25732,1311
2020-05-22,23800,1288
2020-05-23,22269,1049
2020-05-24,20031,620
2020-05-25,19100,510
2020-05-26,18928,747
2020-05-27,18757,1485
2020-05-28,22510,1201
2020-05-29,24548,1190
2020-05-30,23397,963
2020-05-31,20634,604
2020-06-01,21570,593
2020-06-02,20786,1082
2020-06-03,19986,989
2020-06-04,21615,1008
2020-06-05,24178,873
2020-06-06,22510,728
2020-06-07,18615,390
2020-06-08,18205,722
2020-06-09,18805,1030
2020-06-10,20497,929
2020-06-11,23201,877
2020-06-12,25492,779
2020-06-13,25334,692
2020-06-14,19130,317
2020-06-15,20117,451
2020-06-16,24883,769
2020-06-17,25653,766
2020-06-18,28059,727
2020-06-19,31714,698
2020-06-20,32025,546
2020-06-21,26379,257
2020-06-22,30465,360
2020-06-23,35059,766
2020-06-24,36980,767
2020-06-25,39319,612
2020-06-26,45528,633
2020-06-27,42299,511
2020-06-28,39506,272
2020-06-29,39494,347
2020-06-30,48385,714
2020-07-01,49975,642
2020-07-02,55557,723
2020-07-03,57153,591
2020-07-04,50005,261
2020-07-05,44763,262
2020-07-06,47315,391
2020-07-07,54073,958
2020-07-08,59452,950
2020-07-09,59886,841
2020-07-10,68224,828
2020-07-11,60716,675
2020-07-12,57805,396
2020-07-13,61567,425
2020-07-14,65597,954
2020-07-15,68336,971
2020-07-16,75682,958
2020-07-17,70922,901
2020-07-18,62448,775
2020-07-19,62306,412
2020-07-20,59888,531
2020-07-21,65266,1127
2020-07-22,69737,1166
2020-07-23,70004,1116
2020-07-24,73523,1146
2020-07-25,66803,883
2020-07-26,54217,440
2020-07-27,59181,1699
2020-07-28,63110,1327
2020-07-29,66615,1422
2020-07-30,69111,1261
2020-07-31,69059,1429
2020-08-01,56821,1055
2020-08-02,50793,420
2020-08-03,47483,612
2020-08-04,53537,1357
2020-08-05,53721,1268
2020-08-06,57695,1177
2020-08-07,61150,1356
2020-08-08,55240,973
2020-08-09,48488,540
2020-08-10,47173,537
2020-08-11,53345,1451
2020-08-12,54283,1483
2020-08-13,54057,1213
2020-08-14,59477,1176
2020-08-15,51149,1059
2020-08-16,42143,516
2020-08-17,37507,535
2020-08-18,43238,1349
2020-08-19,43014,1295
2020-08-20,46025,1043
2020-08-21,49027,1161
2020-08-22,45031,950
2020-08-23,32340,446
2020-08-24,40379,505
2020-08-25,39173,1214
2020-08-26,45317,1232
2020-08-27,45614,1126
2020-08-28,46556,1010
2020-08-29,44639,871
2020-08-30,33458,375
2020-08-31,36439,490
2020-09-01,44027,1091
2020-09-02,40221,1080
2020-09-03,46348,1078
2020-09-04,52101,980
2020-09-05,42278,712
2020-09-06,30082,407
2020-09-07,25173,265
2020-09-08,28864,458
2020-09-09,33313,1177
2020-09-10,38036,915
2020-09-11,47548,1228
2020-09-12,39149,698
2020-09-13,33369,399
2020-09-14,36839,450
2020-09-15,39221,1281
2020-09-16,39216,997
2020-09-17,45313,849
2020-09-18,48875,948
2020-09-19,41956,675
2020-09-20,36401,227
2020-09-21,54874,433
2020-09-22,37293,943
